------------------------------「演算結果」------------------------------
          | 経過時間(ミリ秒)| ペナルティ(プライオリティ順)
 283 | time: 1598 msec | Optimization: 60 11406 1 14 134 65
 284 | time: 1604 msec | Optimization: 60 11400 2 14 152 65
 285 | time: 1610 msec | Optimization: 60 11399 2 14 152 65
 286 | time: 1614 msec | Optimization: 60 11399 2 14 145 65
 287 | time: 1617 msec | Optimization: 60 11399 2 14 140 65
 288 | time: 1620 msec | Optimization: 60 11399 2 14 137 65
 289 | time: 1623 msec | Optimization: 60 11399 2 14 136 65
 290 | time: 1627 msec | Optimization: 60 11399 1 15 136 65
 291 | time: 1631 msec | Optimization: 60 11399 1 14 139 65
 292 | time: 1634 msec | Optimization: 60 11399 1 14 138 65
 293 | time: 1637 msec | Optimization: 60 11399 1 14 136 65
 294 | time: 1643 msec | Optimization: 60 11399 1 14 135 66
 295 | time: 1646 msec | Optimization: 60 11399 1 14 134 66
 296 | time: 1650 msec | Optimization: 60 11399 1 14 134 65
 297 | time: 1723 msec | Optimization: 60 11336 2 15 143 66
 298 | time: 1729 msec | Optimization: 60 11336 2 14 145 66
 299 | time: 1733 msec | Optimization: 60 11336 2 14 142 66
 300 | time: 1736 msec | Optimization: 60 11336 2 14 141 66
 301 | time: 1739 msec | Optimization: 60 11336 2 14 136 66
 302 | time: 1742 msec | Optimization: 60 11336 2 14 134 66
 303 | time: 1745 msec | Optimization: 60 11336 2 14 133 66
 304 | time: 1748 msec | Optimization: 60 11336 2 14 132 66
 305 | time: 1751 msec | Optimization: 60 11334 2 14 137 66
 306 | time: 1756 msec | Optimization: 60 11334 1 14 139 66
 307 | time: 1760 msec | Optimization: 60 11334 1 14 137 66
 308 | time: 1767 msec | Optimization: 60 11323 1 14 136 66
 309 | time: 1772 msec | Optimization: 60 11322 1 14 136 66
 310 | time: 1776 msec | Optimization: 60 11322 1 14 134 66
 311 | time: 1779 msec | Optimization: 60 11322 1 14 134 65
 312 | time: 1785 msec | Optimization: 60 11314 1 14 136 64
 313 | time: 1900 msec | Optimization: 60 11312 1 14 136 66
 314 | time: 1905 msec | Optimization: 60 11312 1 14 136 65
 315 | time: 1908 msec | Optimization: 60 11312 1 14 134 65
 316 | time: 1917 msec | Optimization: 60 11308 1 14 141 64
 317 | time: 1922 msec | Optimization: 60 11304 1 14 136 64
 318 | time: 2123 msec | Optimization: 60 11304 1 14 136 63
 319 | time: 2244 msec | Optimization: 60 11304 1 14 134 64
 320 | time: 2248 msec | Optimization: 60 11304 1 14 134 63
 321 | time: 2397 msec | Optimization: 60 11243 2 15 141 64
 322 | time: 2404 msec | Optimization: 60 11239 2 15 141 64
 323 | time: 2409 msec | Optimization: 60 11239 2 15 139 64
 324 | time: 2412 msec | Optimization: 60 11239 2 15 138 65
 325 | time: 2414 msec | Optimization: 60 11239 2 15 137 65
 326 | time: 2417 msec | Optimization: 60 11239 2 15 137 64
 327 | time: 2420 msec | Optimization: 60 11239 2 15 136 64
 328 | time: 2423 msec | Optimization: 60 11239 2 14 141 64
